,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
222900,07-02-2017 17:55,07-02-2017 18:03,532.789,Calvert St & Woodley Pl NW,Park Rd & Holmead Pl NW,Subscriber
53262,12-01-2017 13:24,12-01-2017 13:57,2026.644,Jefferson Dr & 14th St SW,L'Enfant Plaza / 7th & C St SW,Customer
1714858,28-06-2017 06:29,28-06-2017 06:35,353.631,11th & Girard St NW,Park Rd & Holmead Pl NW,Subscriber
1011157,30-04-2017 11:59,30-04-2017 12:13,817.378,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Customer
1278962,25-05-2017 07:39,25-05-2017 07:46,442.437,20th St & Florida Ave NW,18th & M St NW,Subscriber
386189,27-02-2017 08:11,27-02-2017 08:27,960.173,15th & W St NW,20th St & Virginia Ave NW,Subscriber
430563,05-03-2017 08:45,05-03-2017 09:06,1262.842,S Joyce & Army Navy Dr,Washington Blvd & Walter Reed Dr ,Subscriber
581292,25-03-2017 13:42,25-03-2017 13:51,513.222,5th & K St NW,10th & E St NW,Customer
343322,22-02-2017 18:08,22-02-2017 18:26,1034.686,19th & K St NW,8th & H St NW,Customer
183342,02-02-2017 06:52,02-02-2017 07:05,793.185,4th & M St SW,New York Ave & 15th St NW,Subscriber
1447638,08-06-2017 05:22,08-06-2017 05:46,1452.82,4th & C St SW,Jefferson Memorial,Customer
997489,29-04-2017 11:54,29-04-2017 12:57,3727.212,8th & O St NW,4th & M St SW,Customer
823078,14-04-2017 12:11,14-04-2017 12:18,408.447,Thomas Circle,7th & T St NW,Subscriber
300880,18-02-2017 15:55,18-02-2017 16:04,591.872,Market Square / King St & Royal St,King St Metro South,Customer
888118,19-04-2017 10:12,19-04-2017 11:06,3212.073,Ballenger Ave & Dulaney St,Potomac & M St NW,Subscriber
542487,21-03-2017 13:44,21-03-2017 13:53,549.488,9th & Upshur St NW,7th & T St NW,Subscriber
809584,14-04-2017 02:28,14-04-2017 02:49,1284.582,11th & O St NW,North Capitol St & F St NW,Subscriber
772007,11-04-2017 07:45,11-04-2017 08:23,2267.873,25th St & Pennsylvania Ave NW,Eastern Market / 7th & North Carolina Ave SE,Subscriber
1112591,10-05-2017 05:42,10-05-2017 05:53,655.358,3rd & Elm St NW,18th & R St NW,Subscriber
1314896,28-05-2017 11:07,28-05-2017 11:12,276.139,Lincoln Park / 13th & East Capitol St NE ,13th & H St NE,Subscriber
1338056,30-05-2017 08:40,30-05-2017 08:52,757.283,Iwo Jima Memorial/N Meade & 14th St N,17th St & Independence Ave SW,Subscriber
1013693,01-05-2017 02:56,01-05-2017 02:59,150.07,22nd & I St NW / Foggy Bottom,21st & M St NW,Subscriber
196534,03-02-2017 19:14,03-02-2017 19:18,283.917,Calvert St & Woodley Pl NW,18th St & Wyoming Ave NW,Subscriber
500337,15-03-2017 09:21,15-03-2017 09:48,1650.611,Park Rd & Holmead Pl NW,17th & G St NW,Subscriber
710210,06-04-2017 06:33,06-04-2017 06:35,91.137,Columbus Circle / Union Station,2nd & G St NE,Subscriber
396405,28-02-2017 10:01,28-02-2017 10:16,848.575,Columbus Circle / Union Station,Jefferson Dr & 14th St SW,Subscriber
393656,28-02-2017 06:50,28-02-2017 07:01,671.691,L'Enfant Plaza / 7th & C St SW,New York Ave & 15th St NW,Subscriber
1491709,11-06-2017 05:18,11-06-2017 05:31,762.604,USDA / 12th & Independence Ave SW,Jefferson Memorial,Customer
1508678,12-06-2017 08:59,12-06-2017 09:16,1024.28,17th St & Independence Ave SW,4th & C St SW,Customer
685438,04-04-2017 05:35,04-04-2017 05:39,270.835,7th & R St NW / Shaw Library,1st & Rhode Island Ave NW,Subscriber
1092752,08-05-2017 08:28,08-05-2017 08:45,979.647,17th St & Massachusetts Ave NW,4th & D St NW / Judiciary Square,Subscriber
1184971,17-05-2017 06:27,17-05-2017 06:40,834.047,Columbus Circle / Union Station,3rd & Tingey St SE,Subscriber
1441761,07-06-2017 09:12,07-06-2017 09:27,918.025,Park Rd & Holmead Pl NW,1st & O St NW,Subscriber
409236,01-03-2017 20:17,01-03-2017 20:31,876.371,3rd & Tingey St SE,3rd & H St NE,Customer
1212266,19-05-2017 07:34,19-05-2017 07:47,785.744,Jefferson Memorial,15th & L St NW,Subscriber
594529,26-03-2017 14:03,26-03-2017 14:23,1151.394,14th & G St NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Customer
1180662,17-05-2017 02:26,17-05-2017 02:33,398.726,19th & K St NW,22nd St & Constitution Ave NW,Subscriber
1202977,18-05-2017 09:42,18-05-2017 09:48,327.254,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,22nd St & Constitution Ave NW,Subscriber
983873,28-04-2017 12:10,28-04-2017 12:18,479.464,6th St & Indiana Ave NW,New York Ave & 15th St NW,Subscriber
1075071,07-05-2017 01:13,07-05-2017 01:18,292.956,3rd & D St SE,1st & K St SE,Subscriber
415895,02-03-2017 17:42,02-03-2017 17:45,196.844,5th & K St NW,New Jersey Ave & N St NW/Dunbar HS,Subscriber
941287,25-04-2017 07:51,25-04-2017 07:59,507.385,M St & Pennsylvania Ave NW,17th St & Massachusetts Ave NW,Subscriber
880319,19-04-2017 04:50,19-04-2017 06:16,5187.092,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
179351,01-02-2017 16:30,01-02-2017 16:37,413.574,New York Ave & 15th St NW,5th St & Massachusetts Ave NW,Subscriber
311146,19-02-2017 14:43,19-02-2017 15:48,3905.889,22nd St & Constitution Ave NW,Washington & Independence Ave SW/HHS,Customer
787247,12-04-2017 07:55,12-04-2017 08:15,1197.549,1st & D St SE,21st St & Constitution Ave NW,Subscriber
1686650,26-06-2017 07:03,26-06-2017 07:25,1296.617,1st & M St NE,11th & Kenyon St NW,Subscriber
530374,20-03-2017 08:26,20-03-2017 08:33,371.371,11th & H St NE,Columbus Circle / Union Station,Subscriber
1058428,04-05-2017 08:28,04-05-2017 08:33,272.02,12th & L St NW,15th & P St NW,Subscriber
1035586,02-05-2017 10:38,02-05-2017 11:05,1593.968,5th St & Massachusetts Ave NW,Park Rd & Holmead Pl NW,Customer
50718,12-01-2017 08:02,12-01-2017 08:19,1035.74,15th & F St NE,Metro Center / 12th & G St NW,Subscriber
1401030,04-06-2017 07:36,04-06-2017 07:46,598.648,Potomac & M St NW,24th & N St NW,Customer
1186026,17-05-2017 07:03,17-05-2017 07:08,288.388,Kennedy Center,US Dept of State / Virginia Ave & 21st St NW,Subscriber
1248817,22-05-2017 06:53,22-05-2017 07:04,638.807,Florida Ave & R St NW,4th & D St NW / Judiciary Square,Subscriber
323061,20-02-2017 15:17,20-02-2017 15:29,694.483,8th & H St NW,1st & M St NE,Subscriber
189967,02-02-2017 19:50,02-02-2017 20:10,1177.139,Clarendon Blvd & Pierce St,Fairfax Dr & Kenmore St,Subscriber
712907,06-04-2017 08:40,06-04-2017 08:51,677.466,10th & Florida Ave NW,22nd & P ST NW,Subscriber
272051,14-02-2017 19:09,14-02-2017 19:18,516.969,5th & K St NW,M St & Delaware Ave NE,Subscriber
1708108,27-06-2017 12:01,27-06-2017 01:09,4112.248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
1390127,03-06-2017 09:51,03-06-2017 09:56,331.614,7th & T St NW,14th & V St NW,Subscriber
794816,13-04-2017 03:52,13-04-2017 04:03,659.261,16th & Irving St NW,17th St & Massachusetts Ave NW,Subscriber
1692748,26-06-2017 11:33,26-06-2017 11:38,285.294,15th & Euclid St  NW,Columbia Rd & Belmont St NW,Subscriber
1516403,13-06-2017 06:30,13-06-2017 06:49,1165.451,Independence Ave & L'Enfant Plaza SW/DOE,3rd & Tingey St SE,Customer
886603,19-04-2017 08:45,19-04-2017 09:09,1405.937,1st & K St SE,17th & G St NW,Subscriber
216984,07-02-2017 07:57,07-02-2017 08:10,746.341,14th & Irving St NW,14th & L St NW,Subscriber
564111,23-03-2017 18:31,23-03-2017 18:37,375.701,1st & H St NW,New Jersey Ave & N St NW/Dunbar HS,Subscriber
1648971,23-06-2017 09:50,23-06-2017 09:56,325.04,12th & U St NW,11th & M St NW,Subscriber
588214,25-03-2017 18:24,25-03-2017 19:56,5484.166,17th St & Independence Ave SW,8th & D St NW,Customer
1651657,24-06-2017 01:11,24-06-2017 01:31,1218.554,14th & V St NW,8th & F St NE,Subscriber
461408,08-03-2017 18:56,08-03-2017 19:06,584.654,19th & K St NW,New Hampshire Ave & T St NW,Customer
1585449,18-06-2017 10:45,18-06-2017 11:25,2412.743,Jefferson Memorial,17th St & Independence Ave SW,Customer
1157960,15-05-2017 05:38,15-05-2017 05:49,642.37,22nd St & Constitution Ave NW,14th & G St NW,Subscriber
749293,10-04-2017 01:02,10-04-2017 01:18,982.297,Lincoln Memorial,4th St & Madison Dr NW,Subscriber
1158636,15-05-2017 06:01,15-05-2017 06:07,364.309,3rd & G St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
1117666,10-05-2017 08:25,10-05-2017 08:38,824.438,10th & Monroe St NE,North Capitol St & F St NW,Subscriber
346415,23-02-2017 07:16,23-02-2017 07:29,809.687,14th & Girard St NW,21st St & Pennsylvania Ave NW,Subscriber
1647262,23-06-2017 08:40,23-06-2017 09:05,1529.848,Jefferson Memorial,Lincoln Memorial,Customer
518100,18-03-2017 13:41,18-03-2017 13:54,803.85,Jefferson Memorial,Lincoln Memorial,Customer
134140,25-01-2017 18:40,25-01-2017 18:51,663.125,14th & V St NW,Rhode Island Ave & V St NE,Subscriber
266230,14-02-2017 07:33,14-02-2017 07:42,514.931,Bladensburg Rd & Benning Rd NE,Columbus Circle / Union Station,Subscriber
211035,06-02-2017 13:41,06-02-2017 13:51,639.337,7th & F St NW/Portrait Gallery,10th St & L'Enfant Plaza SW,Subscriber
763421,11-04-2017 01:29,11-04-2017 01:35,360.656,3rd & Elm St NW,7th & R St NW / Shaw Library,Subscriber
142288,26-01-2017 18:24,26-01-2017 18:28,239.264,Adams Mill & Columbia Rd NW,14th & Harvard St NW,Subscriber
173949,31-01-2017 19:53,31-01-2017 20:16,1397.044,1st & K St SE,23rd & E St NW ,Customer
1468038,09-06-2017 08:33,09-06-2017 08:36,211.36,Anacostia Metro,Good Hope Rd & MLK Ave SE,Subscriber
1339369,30-05-2017 10:51,30-05-2017 11:07,968.155,21st & I St NW,14th & V St NW,Subscriber
941686,25-04-2017 08:09,25-04-2017 08:14,296.291,4th & C St SW,Constitution Ave & 2nd St NW/DOL,Subscriber
562102,23-03-2017 16:39,23-03-2017 16:46,437.745,Ward Circle / American University,Wisconsin Ave & Newark St NW,Subscriber
1085015,08-05-2017 01:57,08-05-2017 02:11,871.769,Potomac & M St NW,21st & M St NW,Customer
910133,21-04-2017 07:57,21-04-2017 08:07,584.702,2nd & G St NE,4th & East Capitol St NE,Customer
307543,19-02-2017 12:04,19-02-2017 13:02,3489.993,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,3rd St & Pennsylvania Ave SE,Customer
1626321,22-06-2017 02:29,22-06-2017 02:35,363.248,Potomac & Pennsylvania Ave SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
803961,13-04-2017 08:53,13-04-2017 08:57,253.826,Aurora Hills Community Ctr/18th & Hayes St,Crystal City Metro / 18th & Bell St,Subscriber
829139,15-04-2017 04:17,15-04-2017 04:51,2046.945,23rd & Crystal Dr,Lynn & 19th St North,Customer
510394,17-03-2017 12:36,17-03-2017 12:49,727.552,C & O Canal & Wisconsin Ave NW,19th & G St NW,Subscriber
174361,31-01-2017 21:03,31-01-2017 21:07,243.688,15th & P St NW,Thomas Circle,Subscriber
275514,15-02-2017 09:45,15-02-2017 09:51,378.843,10th & K St NW,17th & K St NW / Farragut Square,Subscriber
1067511,05-05-2017 08:58,05-05-2017 09:10,734.291,11th & Kenyon St NW,Georgia Ave & Emerson St NW,Subscriber
274552,15-02-2017 08:30,15-02-2017 08:42,697.332,Kennedy Center,Lincoln Memorial,Customer
144034,27-01-2017 05:54,27-01-2017 06:09,899.223,M St & Delaware Ave NE,1st & N St  SE,Subscriber
1742298,30-06-2017 05:46,30-06-2017 06:05,1119.582,Thomas Circle,15th & P St NW,Customer
1304996,27-05-2017 11:14,27-05-2017 11:19,333.628,4th & East Capitol St NE,12th St & Pennsylvania Ave SE,Subscriber
231196,08-02-2017 15:42,08-02-2017 15:52,586.164,14th & L St NW,North Capitol St & F St NW,Subscriber
1174240,16-05-2017 07:41,16-05-2017 07:56,895.129,Calvert St & Woodley Pl NW,15th & P St NW,Customer
885547,19-04-2017 08:12,19-04-2017 08:15,171.05,12th & Irving St NE,10th & Monroe St NE,Subscriber
1042546,03-05-2017 06:35,03-05-2017 06:37,110.458,15th & Euclid St  NW,14th & Belmont St NW,Subscriber
1069569,06-05-2017 02:06,06-05-2017 02:33,1613.537,20th St & Florida Ave NW,10th St & Constitution Ave NW,Subscriber
839378,15-04-2017 12:05,15-04-2017 12:23,1096.941,Eastern Market / 7th & North Carolina Ave SE,New Jersey Ave & L St NW,Subscriber
724464,08-04-2017 03:11,08-04-2017 04:05,3221.721,34th & Water St NW,Crystal City Metro / 18th & Bell St,Subscriber
